6 PK W/COVARIATE RELATIONSHIPS,,0,0,528.742270428391,11.1057,90.3812,0.0515977,0.0211533,0.0556263,0.0406739,0,0.0131606,6,../6.csv
6 PK W/COVARIATE RELATIONSHIPS,RSE,0,0,528.742270428391,.,.,.,.,.,.,.,.,6,../6.csv
7 PK W/COVARIATE RELATIONSHIPS,,0,0,581.865216129428,11.1416,86.7005,0.0723634,0.0143575,0.0623463,0.0432323,0,0.0191158,7,../7.csv
7 PK W/COVARIATE RELATIONSHIPS,RSE,0,0,581.865216129428,.,.,.,.,.,.,.,.,7,../7.csv
8 PK W/COVARIATE RELATIONSHIPS,,0,0,530.334503323911,11.2747,93.4769,0.0710038,0.00520538,0.028866,0.0409775,0,0.0177352,8,../8.csv
8 PK W/COVARIATE RELATIONSHIPS,RSE,0,0,530.334503323911,.,.,.,.,.,.,.,.,8,../8.csv
9 PK W/COVARIATE RELATIONSHIPS,,0,0,409.84577353812,12.112,86.9808,0.0578984,0.0108403,0.0506671,0.0403529,0,0.0109871,9,../9.csv
9 PK W/COVARIATE RELATIONSHIPS,RSE,0,0,409.84577353812,.,.,.,.,.,.,.,.,9,../9.csv
10 PK W/COVARIATE RELATIONSHIPS,,0,0,456.510192243785,12.0189,93.5853,0.0561397,-0.0131844,0.0304762,0.0431101,0,0.0129877,10,../10.csv
10 PK W/COVARIATE RELATIONSHIPS,RSE,0,0,456.510192243785,.,.,.,.,.,.,.,.,10,../10.csv
11 PK W/COVARIATE RELATIONSHIPS,,0,0,499.814604782372,11.6015,93.9308,0.0479481,0.00768129,0.0594686,0.0444,0,0.00544205,11,../11.csv
11 PK W/COVARIATE RELATIONSHIPS,RSE,0,0,499.814604782372,.,.,.,.,.,.,.,.,11,../11.csv
12 PK W/COVARIATE RELATIONSHIPS,,0,0,518.293866095428,11.4967,85.7372,0.0886941,0.0192545,0.0378894,0.0426586,0,0.0161571,12,../12.csv
12 PK W/COVARIATE RELATIONSHIPS,RSE,0,0,518.293866095428,.,.,.,.,.,.,.,.,12,../12.csv
13 PK W/COVARIATE RELATIONSHIPS,,0,0,518.09298899334,10.9312,85.2513,0.0706381,0.0281101,0.0493616,0.0384347,0,0.0134569,13,../13.csv
13 PK W/COVARIATE RELATIONSHIPS,RSE,0,0,518.09298899334,.,.,.,.,.,.,.,.,13,../13.csv
14 PK W/COVARIATE RELATIONSHIPS,,0,0,567.733078836502,10.9197,86.7008,0.0503293,0.00410245,0.0445811,0.0415476,0,0.0200076,14,../14.csv
14 PK W/COVARIATE RELATIONSHIPS,RSE,0,0,567.733078836502,.,.,.,.,.,.,.,.,14,../14.csv
15 PK W/COVARIATE RELATIONSHIPS,,0,0,439.962192236363,11.819,84.806,0.0450382,0.0327075,0.0743287,0.0456722,0,0.00356908,15,../15.csv
15 PK W/COVARIATE RELATIONSHIPS,RSE,0,0,439.962192236363,.,.,.,.,.,.,.,.,15,../15.csv
16 PK W/COVARIATE RELATIONSHIPS,,0,0,544.362476299098,11.6524,97.7235,0.0670754,-0.00562815,0.0317054,0.0478577,0,0.00836978,16,../16.csv
16 PK W/COVARIATE RELATIONSHIPS,RSE,0,0,544.362476299098,.,.,.,.,.,.,.,.,16,../16.csv
17 PK W/COVARIATE RELATIONSHIPS,,0,0,392.927794528275,11.9287,91.1024,0.048204,0.0124405,0.0438673,0.0402587,0,0.00444725,17,../17.csv
17 PK W/COVARIATE RELATIONSHIPS,RSE,0,0,392.927794528275,.,.,.,.,.,.,.,.,17,../17.csv
18 PK W/COVARIATE RELATIONSHIPS,,0,0,563.114875577323,10.9899,82.8542,0.0784146,0.0239101,0.0544417,0.0411291,0,0.0190855,18,../18.csv
18 PK W/COVARIATE RELATIONSHIPS,RSE,0,0,563.114875577323,.,.,.,.,.,.,.,.,18,../18.csv
19 PK W/COVARIATE RELATIONSHIPS,,0,0,524.189764326328,11.1389,88.8057,0.0580454,0.0140295,0.0631071,0.0381473,0,0.0199543,19,../19.csv
19 PK W/COVARIATE RELATIONSHIPS,RSE,0,0,524.189764326328,.,.,.,.,.,.,.,.,19,../19.csv
20 PK W/COVARIATE RELATIONSHIPS,,0,0,513.801629713396,11.8042,97.0967,0.0437424,0.0079821,0.0538362,0.0484002,0,0.0044664,20,../20.csv
20 PK W/COVARIATE RELATIONSHIPS,RSE,0,0,513.801629713396,.,.,.,.,.,.,.,.,20,../20.csv
